,original,our_paraphrase
0,Obtožbe zanemarjanja so zanikali.,Obtožbe zanemarjanja so zanikali.
1,Stanje kožuha ni vplivalo na kakovost njenega življenja.,Stanje kožuha ni vplivalo na kakovost njenega življenja.
2,Evropski prvak v oponašanju galebov je Nizozemec.,Evropski prvak v oponašanju galebov je Nizozemec.
3,Galebe v javnosti pogosto prezirajo zaradi njihovega vsiljivega vedenja.,Galebe pogosto prezirajo zaradi njihovega vsiljivega vedenja.
4,Ustvarili so namreč čokoladni doprsni kip kralja v naravni velikosti.,Ustvarili so čokoladni kip kralja v naravni velikosti.
5,V torbi Američanke so našli zlato pištolo.,V torbi Američanke so našli zlato pištolo.
6,Sicer se nizozemsko podjetje že dolgo bojuje proti modernemu suženjstvu in otroškemu delu v čokoladni industriji.,Nizozemska se že dolgo bori proti modernemu suženjstvu in otroškemu delu v čokoladni industriji.
7,V svojih menijih odslikava tudi lastno razmišljanje o razmerah v svetu.,V svojih menijih odslikava tudi lastno razmišljanje o razmerah v svetu.
8,Hišni ljubljenčki bodo lahko odkrivali več kot 120 grških arheoloških najdišč.,Hišni ljubljenčki bodo lahko odkrili več kot 120 grških arheoloških najdišč.
9,Trinožci se ne bodo smeli sprehajati po najbolj priljubljenih turističnih znamenitostih.,Trinožci se ne bodo smeli sprehajati po najbolj priljubljenih turističnih znamenitostih.
10,Ni še znano kdaj naj bi novi pravilnik začel veljati.,Ni še znano kdaj naj bi novi pravilnik začel veljati.
11,Med prvomajskimi destinacijami so priljubljene tudi turistične kmetije.,Med prvomajskimi destinacijami so priljubljene tudi turistične kmetije.
12,Čas prvomajskih dopustov je tudi priložnost za oddih na kateri od turističnih kmetij.,Med prvomajkimi dopusti je tudi priložnost za oddih na kateri od turističnih kmetij.
13,Obisk domačih gostov za prvomajske praznike je močno odvisen od vremena.,Obisk domačih gostov za prvomajske praznike je močno odvisen od vremena.
14,Preteklo leto po številu obiskov in prenočitev na kmetijah podobno letu 2019.,Preteklo leto po številu obiskov in prenočitev na kmetijah je podobno letu 2019.
15,Zanimanje za obisk ali nastanitev na turističnih kmetijah v zadnjih letih raste.,Zanimanje za obisk ali nastanitev na turističnih kmetijah v zadnjih letih narašča.
16,Največ zanimanja je za kmetije z nastanitvijo in izletniške kmetije.,Največ zanimanja je za kmetije z nastanitvijo in izletniške kmetije.
17,Zanimanje za tovrstni oddih se bo na podeželju ohranil.,Zanimanje za tovrstni oddih se bo na podeželju ohranilo.
18,Neposredni stik z morjem veliko pripomore k razumevanju morja.,Neposredni stik z morjem veliko pripomore k razumevanju morja.
19,Pretekle sezone so bile uspešne.,Prejšnje sezone so bile uspešne.
20,"Slavko Žitnit je velik veleum, ki pogosto izumi kaj novega.","Slavko Žitnit je velik veleum, ki pogosto izumlja kaj novega."
