,original,paraphrase,our_paraphrase
0,"Vedeli smo, da bo težko, toda takšnega poraza seveda nismo pričakovali.","Vedeli smo, da bo težko, toda takšnega poraza nismo pričakovali.","Vedeli smo, da bo težko, toda tega poraza nismo pričakovali."
1,"Sam sem tokrat igral bledo, morda še vedno pod vtisom neverjetnega poraza iz prejšnjega kola.","Tokrat sem igral bledo, morda še vedno pod vtisom neverjetnega poraza iz prejšnjega kroga.","Sam sem tokrat igral bledo, morda še vedno pod vtisom neverjetnega poraza iz prejšnjega kol"
2,"Nesrečno je izgubil Mohr, ki je imel precej boljši položaj, zato pa se je čudežno rešil Aljoša Grosar, ki smo ga prvega odpisali.","Izgubil je Mohr, ki je imel veliko boljši položaj, žal, vendar se je čudežno znebil Aljoša Grosarja, ki smo ga najprej odpisali.","Nesrečno je izgubil Mohr, ki je imel precej boljši položaj, zato se je čude"
3,Remi Adrijana Mihaljčišina je bil »planski«.,"Remi Adrijana Mihaljčišina je bil ""načrtovan"".","Remi Adrijana Mihaljčišina je bil ""planski""."
4,Grönholm drvi k novi zmagi,Grönholm do nove zmage,Grönholm drvi k novi zmagi
5,"Auckland - Derbi jadralnega Pokala Amerike za četrtfinale med francoskim moštvom Le Defi in italijanskim Mascalzone Latino se je končal z zmago Francozov, ki so si zagotovili nastop v četrtfinalu.","Auckland - Derbi ameriškega pokala za četrtfinale med francoskim reprezentantom Le Defijem in italijanskim Mascalzone Latino se je končal z zmago Francozov, ki so si zagotovili četrtfinale.",Auckland - Derbi jadralnega Pokala Amerike za četrtfinale med francoskim moštvom
6,Posadka Vincenza Oronata s skiperjem Paolom Cianom je že na štartu zaostala za štiri dolžine za Lucom Pillotom.,Posadka Vincenzo Oronat s skiperjem Paolo Cian je že padla štiri dolžine za Luc Pillot na začetku.,Vincenza Oronata s skiperjem Paolom Cianom je že n
7,"Švicarski Alinghi si je z dvema zmagama zagotovil prvo mesto in najboljši položaj pri žrebu za drugi del pokala, ki se bo začel sredi novembra.","Švicarka Alinghi si je z dvema zmagama zagotovila prvo mesto in najboljše mesto v žrebu za drugi del pokala, ki se bo začel sredi novembra.",Švicarski Alinghi je z dvema zmagama zagotovil prvo mesto in najboljši položaj pri žrebu
8,»Sladoledar« je prodajal smrt,Ledeni mož je prodajal smrt.,"""Sladoledar"" je prodajal smrt"
9,"Policija, ki je vedela, da je Kuklinski umoril že čez sto ljudi (končno število naj bi bilo 125), je bila uspešna konec osemdesetih v prejšnjem stoletju.","Policija, ki je vedela, da je Kuklinski umoril več kot sto ljudi (skupno število ocenjujejo na 125), so bili uspešni v poznih 1980.","Policija, ki je vedela, da je Kuklinski umoril več sto ljudi (končno"
10,"Več kot leto dni mu je »podstavljala« tajnega agenta, ki je zbral dovolj dokazov za njegovo aretacijo.","Več kot leto dni mu je ""podtaknila"" kot tajnemu agentu, ki je zbral dovolj dokazov, da bi ga aretiral.","Več kot leto dni mu je ""podstavljala"" tajnega agenta, ki je zbral"
11,"Sodili so mu zaradi dokazov za umor dveh ljudi, čeprav so vedeli še za nekaj drugih.","Sodili so mu zaradi dokazov umora dveh ljudi, čeprav so vedeli še za nekaj drugih.","Sodili so mu zaradi dokazov za umor dveh ljudi, čeprav so vedeli za nekaj drugih."
12,"Da bi se s skromnimi dokazi izognili še dolgotrajnejšemu sojenju, so mu predlagali kupčijo: če prizna dva, tri umore, bodo njegovo ženo in sina oprostili kazenskega postopka zaradi suma preprodaje mamil, pa tudi kazen za njegovo početje ne bo smrtna, ampak »le« dosmrtno bivanje za zaporniškimi zidovi.","Da bi se izognil dolgotrajnemu sojenju s pičlimi dokazi, so mu ponudili kupčijo: Če prizna dva ali tri umore, bosta njegova žena in sin izpuščena iz kazenskega pregona zaradi suma preprodaje drog, njegova kazen pa bo, ne smrt, ampak ""samo"" življenje za zaporniškimi zidovi.","Da bi se izognili dolgotrajnemu sojenju, so mu predlagali kupčijo: če prizna dva,"
13,"Kuklinski, ki mu je bila družina sveta, je pristal in si konec devetdesetih prislužil dvakratno dosmrtno obsodbo.","Kuklinski, s katerim je bil družina sveta, so se strinjali in prejeli dvojno življenjsko kazen v poznih 1990-ih.","Kuklinski, ki mu je bila družina sveta, je pristal in si konec devetdesetih prislužil dv"
14,Izbor lokalov in cen za hrano je skoraj veličasten.,Izbira barov in cen hrane je skoraj impresivna.,Izbor lokalov in cen za hrano je skoraj veličasten.
15,Giblje se od običajnih obratov (družbene) prehrane do čisto spodobnih gostiln srednjega razreda.,Iz običajnih (družabnih) prehrambenih obratov se seli v povsem dostojne gostilne srednjega razreda.,Giblje se od običajnih obratov (družbene) prehrane do čisto spodobnih gostiln srednjeg
16,V tem okolju se vrtijo tudi cene.,Cene se vrtijo tudi v tem okolju.,V tem okolju se cene vrtijo tudi v tem okolju.
17,"Približno četrtina je nizkih, nekatere so celo tako nizke, da je za obrok treba plačati le 85 tolarjev.","Približno četrtina je nizkih, nekatere so tako nizke, da se za obrok plača le 85 tolarjev.","Približno četrtina je nizkih, nekatere so celo tako nizke, da je treba plačati le 85 tolarjev."
